id,price,address,bed,bath,type
467,3200,18,3,2,Apartment
468,2150,6,1,1,Apartment
469,2700,6,2,2,Apartment
470,2050,8,1,1,Apartment
471,3650,2,2,2,Apartment
472,3750,2,2,2,Apartment
473,2750,19,2,2,Apartment
474,3300,2,2,2,Apartment
475,4200,2,2,2,Apartment
476,4230,2,3,2,Apartment
477,2500,1,1,1,Apartment
478,3245,1,2,2,Apartment
479,3575,1,2,2,Apartment
480,2000,19,1,1,Apartment
481,2335,19,2,2,Apartment
482,2850,19,3,2,Apartment
483,1900,9,1,1,Apartment
484,2250,9,2,2,Apartment
485,3045,9,3,3,Apartment
486,2000,6,1,1,Apartment
487,2400,6,2,2,Apartment
488,3200,6,3,2,Apartment
489,3150,2,2,2,Apartment
490,3572,2,2,2,Apartment
491,4000,2,2,2,Apartment
492,2450,2,1,1,Apartment
493,2900,2,2,2,Apartment
494,3900,2,3,2,Apartment
495,2050,15,2,2,House
496,2350,15,3,3,House
497,2500,15,4,3,House
498,1750,8,1,1,Apartment
499,2450,2,1,1,Apartment
500,1750,18,1,2,Apartment
501,2150,18,2,2,Apartment
502,3250,5,3,2,House
503,2000,6.5,1,1,Apartment
504,2325,6.5,2,2,Apartment
505,3000,6.5,3,2,Apartment
506,1900,18,1,1,Apartment
507,2450,18,2,2,Apartment
508,3000,2,2,2,Apartment
509,6000,2,3,3,Apartment
510,3200,18,3,2,Apartment
511,2150,6,1,1,Apartment
512,2700,6,2,2,Apartment
513,2050,8,1,1,Apartment
514,3650,2,2,2,Apartment
515,3750,2,2,2,Apartment
516,2750,19,2,2,Apartment
517,3300,2,2,2,Apartment
518,4200,2,2,2,Apartment
519,4230,2,3,2,Apartment
520,2500,1,1,1,Apartment
521,3245,1,2,2,Apartment
522,3575,1,2,2,Apartment
523,2000,19,1,1,Apartment
524,2335,19,2,2,Apartment
525,2850,19,3,2,Apartment
526,1900,9,1,1,Apartment
527,2250,9,2,2,Apartment
528,3045,9,3,3,Apartment
529,2000,6,1,1,Apartment
530,2400,6,2,2,Apartment
531,3200,6,3,2,Apartment
532,3150,2,2,2,Apartment
533,3572,2,2,2,Apartment
534,4000,2,2,2,Apartment
535,2450,2,1,1,Apartment
